+603-62511459,https://www.hotfrog.com.my/company/1100237397028864,Unicool Electrical & Air Cond Co,,None
,https://www.hotfrog.com.my/company/1100238201352192,Syarikat Engineering & Electrical Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100242213269504,Dai Hwa Electronics (M) Sdn Bhd,,None
+603-79839310,https://www.hotfrog.com.my/company/1100241018036224,Hoong Electrical Engineering Co Sdn Bhd,,None,No
,https://www.hotfrog.com.my/company/1100244416827392,Puspa Jaya Trading,,None
,https://www.hotfrog.com.my/company/1100241130098688,Hin Yap Welding Workshop,,None
+6012-6301659,https://www.hotfrog.com.my/company/1100236393435136,Sound&Lighting Service,We are strong and specialize in sound and lighting equipment rental and set-up service....,None,Yes
+603-42969688,https://www.hotfrog.com.my/company/1100242977284096,C & C Telecommunication Sdn Bhd,,None,No
,https://www.hotfrog.com.my/company/1100237200949248,Wang Welding & Spraying Workshop,,None
+603-78763288,https://www.hotfrog.com.my/company/1100237393244160,Union Motor Work,,None,No
+603-20945700,https://www.hotfrog.com.my/company/1100237606674432,Thomas Varkki (M) Sdn Bhd,,None,No
+603-42928010,https://www.hotfrog.com.my/company/1100238375178240,Stonemark Sdn Bhd,,None,No
+6016-2231622,https://www.hotfrog.com.my/company/1100232288858112,Electrical Services (Big Electrical Enterprise),"Housing wiring and Industrial, Supply Industrial Electrical products, Switch Board / PIC, Maintanance of Electrical Equipment,...",None,Yes
,https://www.hotfrog.com.my/company/1100241855152128,Epzeal (M) Sdn Bhd,,None
+6013-8040546,https://www.hotfrog.com.my/company/1100232460722176,Digital Two Way Communications SDN BHD,"Digital Two Way Communications are Motorola Genuine Outlet, We sell&supply MOTOROLA and Vertex Standard walkie-talkie . We...",None,No
+603-33236624,https://www.hotfrog.com.my/company/1100243622731776,Alat-Alat Sukan Yong Leong,,None,No
+6012-9142932,https://www.hotfrog.com.my/company/1100232424865792,BENNY AIRCOND AND WATER SYSTEM (kajang),"we provide 3 different type of service. 1. Air conditioning - normal service & chemical service, sell & trade in new &...",None,Yes
,https://www.hotfrog.com.my/company/1100244676313088,Perusahaan Edaran Sains Sdn Bhd,Dear SirDiakob Enterprises is a service providing companyworking for pharmaceutical Industries for their mutual collaboration...,None
+6017-3018810,https://www.hotfrog.com.my/company/1100234968363008,First Global Distribution,"We are one of the major distributor and exporter for Panasonic & NEC PABX System. We sell all type of Panasonic Equipments,...",None,Yes
+603-60572714,https://www.hotfrog.com.my/company/1100242302050304,Contract Latex Dippers Sdn Bhd,,None,No
+603-77822661,https://www.hotfrog.com.my/company/1100236911071232,Yuntak Air-Conditioning Services Sdn Bhd,,None,No
+603-78031305,https://www.hotfrog.com.my/company/1100239081963520,Mectrik Sdn Bhd,,None,No
,https://www.hotfrog.com.my/company/1100239874273280,Lam Mah Engineering Workshop,,None
,https://www.hotfrog.com.my/company/1100239370162176,M E T Motion Engineering & Trading Sdn Bhd,,None
,https://www.hotfrog.com.my/company/1100241016786944,Hoover Refrigeration & Air Cond,,None
,https://www.hotfrog.com.my/company/1100241794875392,Exotic Radiance Sdn Bhd,,None
